schema,tabla,indice,definicion
public,academies,academies_pkey,CREATE UNIQUE INDEX academies_pkey ON public.academies USING btree (user_id)
public,academies,idx_academies_location,"CREATE INDEX idx_academies_location ON public.academies USING btree (lat, lng)"
public,academies,idx_academies_verified,CREATE INDEX idx_academies_verified ON public.academies USING btree (verified) WHERE (verified = true)
public,admin_emails,admin_emails_pkey,CREATE UNIQUE INDEX admin_emails_pkey ON public.admin_emails USING btree (id)
public,admin_emails,idx_admin_emails_created_at,CREATE INDEX idx_admin_emails_created_at ON public.admin_emails USING btree (created_at DESC)
public,admin_emails,idx_admin_emails_from_user,CREATE INDEX idx_admin_emails_from_user ON public.admin_emails USING btree (from_user_id)
public,admin_emails,idx_admin_emails_from_user_id,CREATE INDEX idx_admin_emails_from_user_id ON public.admin_emails USING btree (from_user_id)
public,admin_emails,idx_admin_emails_status,CREATE INDEX idx_admin_emails_status ON public.admin_emails USING btree (status)
public,audit_logs,audit_logs_pkey,CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public,audit_logs,idx_audit_logs_action,CREATE INDEX idx_audit_logs_action ON public.audit_logs USING btree (action)
public,audit_logs,idx_audit_logs_created_at,CREATE INDEX idx_audit_logs_created_at ON public.audit_logs USING btree (created_at DESC)
public,audit_logs,idx_audit_logs_entity_type,CREATE INDEX idx_audit_logs_entity_type ON public.audit_logs USING btree (entity_type)
public,audit_logs,idx_audit_logs_level,CREATE INDEX idx_audit_logs_level ON public.audit_logs USING btree (level)
public,audit_logs,idx_audit_logs_search,"CREATE INDEX idx_audit_logs_search ON public.audit_logs USING btree (action, entity_type, level, created_at DESC)"
public,audit_logs,idx_audit_logs_status,CREATE INDEX idx_audit_logs_status ON public.audit_logs USING btree (status)
public,audit_logs,idx_audit_logs_user_id,CREATE INDEX idx_audit_logs_user_id ON public.audit_logs USING btree (user_id)
public,blog_comments,blog_comments_pkey,CREATE UNIQUE INDEX blog_comments_pkey ON public.blog_comments USING btree (id)
public,blog_comments,idx_blog_comments_approved,CREATE INDEX idx_blog_comments_approved ON public.blog_comments USING btree (approved)
