schema,tabla,politica,permisiva,roles,comando,condicion_using,condicion_check
public,academies,Academies can manage own profile,PERMISSIVE,{public},ALL,(auth.uid() = user_id),null
public,academies,Admins can manage all academies,PERMISSIVE,{authenticated},ALL,((auth.jwt() ->> 'role'::text) = 'admin'::text),null
public,academies,Admins can view all academies,PERMISSIVE,{authenticated},SELECT,((auth.jwt() ->> 'role'::text) = 'admin'::text),null
public,academies,Anyone can view verified academies,PERMISSIVE,{public},SELECT,(verified = true),null
public,audit_logs,Admins can view all logs,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))",null
public,audit_logs,System can insert logs,PERMISSIVE,{public},INSERT,null,true
public,blog_comments,Admins can delete comments,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))",null
public,blog_comments,Admins can view all comments,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))",null
public,blog_comments,Only authenticated users can create comments,PERMISSIVE,{public},INSERT,null,(auth.uid() IS NOT NULL)
public,blog_comments,Public can view approved comments,PERMISSIVE,{public},SELECT,(approved = true),null
public,blog_comments,Users can update own comments,PERMISSIVE,{public},UPDATE,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role)))))",null
public,blog_config,Admins can manage blog config,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))",null
public,blogs,Admins can do everything with blogs,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))",null
public,blogs,Anyone can view published blogs,PERMISSIVE,{public},SELECT,(published = true),null
public,blogs,Authors can view their own blogs,PERMISSIVE,{public},SELECT,(author_id = auth.uid()),null
public,clubs,Admins can manage all clubs,PERMISSIVE,{authenticated},ALL,((auth.jwt() ->> 'role'::text) = 'admin'::text),null
public,clubs,Admins can view all clubs,PERMISSIVE,{authenticated},SELECT,((auth.jwt() ->> 'role'::text) = 'admin'::text),null
public,clubs,Anyone can view verified clubs,PERMISSIVE,{public},SELECT,(verified = true),null
public,clubs,Clubs can manage own profile,PERMISSIVE,{public},ALL,(auth.uid() = user_id),null
public,coaches,Admins can manage all coaches,PERMISSIVE,{authenticated},ALL,((auth.jwt() ->> 'role'::text) = 'admin'::text),null
public,coaches,Admins can view all coaches,PERMISSIVE,{authenticated},SELECT,((auth.jwt() ->> 'role'::text) = 'admin'::text),null
public,coaches,Anyone can view coaches,PERMISSIVE,{authenticated},SELECT,true,null
public,coaches,Anyone can view verified coaches,PERMISSIVE,{public},SELECT,(verified = true),null
public,coaches,Coaches can manage own profile,PERMISSIVE,{public},ALL,(auth.uid() = user_id),null
public,coaches,Coaches can update own profile,PERMISSIVE,{authenticated},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,content_reports,Los admins pueden actualizar reportes,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))",null
public,content_reports,Los admins pueden ver todos los reportes,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))",null
public,content_reports,Los usuarios pueden crear reportes,PERMISSIVE,{authenticated},INSERT,null,(auth.uid() = reporter_id)
