schema,tabla,trigger,evento,timing,orientacion,accion
public,academies,update_academies_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_updated_at_column()
public,blog_comments,maintain_blog_comment_count,DELETE,AFTER,ROW,EXECUTE FUNCTION increment_blog_comment_count()
public,blog_comments,maintain_blog_comment_count,INSERT,AFTER,ROW,EXECUTE FUNCTION increment_blog_comment_count()
public,blog_comments,update_blog_comments_timestamp,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_blog_comments_updated_at()
public,blog_config,update_blog_config_timestamp,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_blog_config_updated_at()
public,blogs,set_blog_published_timestamp,UPDATE,BEFORE,ROW,EXECUTE FUNCTION set_blog_published_at()
public,blogs,update_blogs_timestamp,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_blogs_updated_at()
public,clubs,update_clubs_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_updated_at_column()
public,coaches,update_coaches_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_updated_at_column()
public,content_reports,trigger_update_report_timestamp,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_report_timestamp()
public,conversations,conversations_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_updated_at()
public,conversations,log_conversation_changes,UPDATE,AFTER,ROW,EXECUTE FUNCTION log_conversation_activity()
public,direct_messages,update_conversation_on_message,INSERT,AFTER,ROW,EXECUTE FUNCTION update_direct_conversation_timestamp()
public,email_templates,trigger_update_email_templates_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_email_templates_updated_at()
public,messages,update_conversation_on_message,INSERT,AFTER,ROW,EXECUTE FUNCTION update_conversation_counters()
public,newsletter_campaigns,update_newsletter_campaigns_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_updated_at_column()
public,newsletter_subscribers,update_newsletter_subscribers_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_updated_at_column()
public,sessions,update_sessions_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_updated_at_column()
public,support_tickets,trigger_set_ticket_number,INSERT,BEFORE,ROW,EXECUTE FUNCTION set_ticket_number()
public,support_tickets,trigger_update_support_ticket_timestamp,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_support_ticket_timestamp()
public,users,on_user_role_change,INSERT,AFTER,ROW,EXECUTE FUNCTION handle_user_role_change()
public,users,on_user_role_change,UPDATE,AFTER,ROW,EXECUTE FUNCTION handle_user_role_change()
public,users,update_users_updated_at,UPDATE,BEFORE,ROW,EXECUTE FUNCTION update_updated_at_column()
public,users,user_role_change_trigger,UPDATE,AFTER,ROW,EXECUTE FUNCTION log_user_role_change()
