tabla,constraint,tipo,columna,condicion_check
academies,2200_18578_1_not_null,CHECK,null,user_id IS NOT NULL
academies,2200_18578_2_not_null,CHECK,null,name IS NOT NULL
academies,2200_18578_4_not_null,CHECK,null,address IS NOT NULL
academies,2200_18578_5_not_null,CHECK,null,lat IS NOT NULL
academies,2200_18578_6_not_null,CHECK,null,lng IS NOT NULL
academies,academies_pkey,PRIMARY KEY,user_id,null
admin_emails,2200_23856_1_not_null,CHECK,null,id IS NOT NULL
admin_emails,2200_23856_4_not_null,CHECK,null,to_addresses IS NOT NULL
admin_emails,2200_23856_5_not_null,CHECK,null,subject IS NOT NULL
admin_emails,2200_23856_6_not_null,CHECK,null,html_content IS NOT NULL
admin_emails,admin_emails_status_check,CHECK,null,"(status = ANY (ARRAY['sent'::text, 'failed'::text, 'pending'::text]))"
admin_emails,admin_emails_pkey,PRIMARY KEY,id,null
audit_logs,2200_27560_1_not_null,CHECK,null,id IS NOT NULL
audit_logs,2200_27560_5_not_null,CHECK,null,action IS NOT NULL
audit_logs,2200_27560_8_not_null,CHECK,null,description IS NOT NULL
audit_logs,audit_logs_level_check,CHECK,null,"(level = ANY (ARRAY['debug'::text, 'info'::text, 'warning'::text, 'error'::text, 'critical'::text]))"
audit_logs,audit_logs_status_check,CHECK,null,"(status = ANY (ARRAY['success'::text, 'failure'::text, 'pending'::text]))"
audit_logs,audit_logs_pkey,PRIMARY KEY,id,null
blog_comments,2200_26666_1_not_null,CHECK,null,id IS NOT NULL
blog_comments,2200_26666_2_not_null,CHECK,null,blog_id IS NOT NULL
blog_comments,2200_26666_5_not_null,CHECK,null,author_name IS NOT NULL
blog_comments,2200_26666_6_not_null,CHECK,null,author_email IS NOT NULL
blog_comments,2200_26666_7_not_null,CHECK,null,content IS NOT NULL
blog_comments,blog_comments_pkey,PRIMARY KEY,id,null
blog_config,2200_26625_1_not_null,CHECK,null,id IS NOT NULL
blog_config,blog_config_pkey,PRIMARY KEY,id,null
blogs,2200_26569_1_not_null,CHECK,null,id IS NOT NULL
blogs,2200_26569_2_not_null,CHECK,null,title IS NOT NULL
blogs,2200_26569_3_not_null,CHECK,null,slug IS NOT NULL
blogs,2200_26569_5_not_null,CHECK,null,content IS NOT NULL
blogs,2200_26569_8_not_null,CHECK,null,category IS NOT NULL
blogs,blogs_pkey,PRIMARY KEY,id,null
blogs,blogs_slug_key,UNIQUE,slug,null
clubs,2200_18558_1_not_null,CHECK,null,user_id IS NOT NULL
clubs,2200_18558_2_not_null,CHECK,null,name IS NOT NULL
