tabla,columna,tipo,tipo_completo,nullable,valor_default,posicion
academies,user_id,uuid,uuid,NO,null,1
academies,name,text,text,NO,null,2
academies,description,text,text,SÍ,null,3
academies,address,text,text,NO,null,4
academies,lat,double precision,double precision,NO,null,5
academies,lng,double precision,double precision,NO,null,6
academies,phone,text,text,SÍ,null,7
academies,website,text,text,SÍ,null,8
academies,programs,ARRAY,ARRAY,SÍ,null,9
academies,verified,boolean,boolean,SÍ,false,10
academies,verification_status,USER-DEFINED,USER-DEFINED,SÍ,'pending'::verification_status,11
academies,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),12
academies,updated_at,timestamp with time zone,timestamp with time zone,SÍ,now(),13
admin_emails,id,uuid,uuid,NO,uuid_generate_v4(),1
admin_emails,email_id,text,text,SÍ,null,2
admin_emails,from_user_id,uuid,uuid,SÍ,null,3
admin_emails,to_addresses,ARRAY,ARRAY,NO,null,4
admin_emails,subject,text,text,NO,null,5
admin_emails,html_content,text,text,NO,null,6
admin_emails,status,text,text,SÍ,'sent'::text,7
admin_emails,sent_at,timestamp with time zone,timestamp with time zone,SÍ,null,8
admin_emails,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),9
admin_emails,updated_at,timestamp with time zone,timestamp with time zone,SÍ,now(),10
audit_logs,id,uuid,uuid,NO,gen_random_uuid(),1
audit_logs,user_id,uuid,uuid,SÍ,null,2
audit_logs,user_email,text,text,SÍ,null,3
audit_logs,user_role,text,text,SÍ,null,4
audit_logs,action,text,text,NO,null,5
audit_logs,entity_type,text,text,SÍ,null,6
audit_logs,entity_id,text,text,SÍ,null,7
audit_logs,description,text,text,NO,null,8
audit_logs,metadata,jsonb,jsonb,SÍ,'{}'::jsonb,9
audit_logs,level,text,text,SÍ,'info'::text,10
audit_logs,ip_address,text,text,SÍ,null,11
audit_logs,user_agent,text,text,SÍ,null,12
audit_logs,request_path,text,text,SÍ,null,13
audit_logs,request_method,text,text,SÍ,null,14
audit_logs,status,text,text,SÍ,'success'::text,15
audit_logs,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),16
blog_comments,id,uuid,uuid,NO,gen_random_uuid(),1
blog_comments,blog_id,uuid,uuid,NO,null,2
blog_comments,user_id,uuid,uuid,SÍ,null,3
blog_comments,parent_comment_id,uuid,uuid,SÍ,null,4
blog_comments,author_name,text,text,NO,null,5
blog_comments,author_email,text,text,NO,null,6
blog_comments,content,text,text,NO,null,7
blog_comments,approved,boolean,boolean,SÍ,false,8
blog_comments,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),9
blog_comments,updated_at,timestamp with time zone,timestamp with time zone,SÍ,now(),10
blog_config,id,uuid,uuid,NO,gen_random_uuid(),1
blog_config,auto_generate_enabled,boolean,boolean,SÍ,false,2
blog_config,last_auto_generation,timestamp with time zone,timestamp with time zone,SÍ,null,3
blog_config,total_auto_generated,integer,integer,SÍ,0,4
blog_config,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),5
blog_config,updated_at,timestamp with time zone,timestamp with time zone,SÍ,now(),6
blogs,id,uuid,uuid,NO,gen_random_uuid(),1
blogs,title,text,text,NO,null,2
blogs,slug,text,text,NO,null,3
blogs,excerpt,text,text,SÍ,null,4
blogs,content,text,text,NO,null,5
blogs,cover_image,text,text,SÍ,null,6
blogs,author_id,uuid,uuid,SÍ,null,7
blogs,category,text,text,NO,'general'::text,8
blogs,tags,ARRAY,ARRAY,SÍ,'{}'::text[],9
blogs,published,boolean,boolean,SÍ,false,10
blogs,published_at,timestamp with time zone,timestamp with time zone,SÍ,null,11
blogs,seo_title,text,text,SÍ,null,12
blogs,seo_description,text,text,SÍ,null,13
blogs,views_count,integer,integer,SÍ,0,14
blogs,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),15
blogs,updated_at,timestamp with time zone,timestamp with time zone,SÍ,now(),16
blogs,comment_count,integer,integer,SÍ,0,17
clubs,user_id,uuid,uuid,NO,null,1
clubs,name,text,text,NO,null,2
clubs,description,text,text,SÍ,null,3
clubs,address,text,text,NO,null,4
clubs,lat,double precision,double precision,NO,null,5
clubs,lng,double precision,double precision,NO,null,6
clubs,phone,text,text,SÍ,null,7
clubs,website,text,text,SÍ,null,8
clubs,amenities,ARRAY,ARRAY,SÍ,null,9
clubs,verified,boolean,boolean,SÍ,false,10
clubs,verification_status,USER-DEFINED,USER-DEFINED,SÍ,'pending'::verification_status,11
clubs,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),12
clubs,updated_at,timestamp with time zone,timestamp with time zone,SÍ,now(),13
coaches,user_id,uuid,uuid,NO,null,1
coaches,bio,text,text,SÍ,null,2
coaches,experience_years,integer,integer,SÍ,null,3
coaches,certifications,ARRAY,ARRAY,SÍ,null,4
coaches,languages,ARRAY,ARRAY,SÍ,ARRAY['Español'::text],5
coaches,nif,text,text,SÍ,null,6
coaches,verified,boolean,boolean,SÍ,false,7
coaches,verification_status,USER-DEFINED,USER-DEFINED,SÍ,'pending'::verification_status,8
coaches,services,jsonb,jsonb,SÍ,'[]'::jsonb,9
coaches,locations,jsonb,jsonb,SÍ,'[]'::jsonb,10
coaches,min_advance_minutes,integer,integer,SÍ,120,11
coaches,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),12
coaches,updated_at,timestamp with time zone,timestamp with time zone,SÍ,now(),13
coaches,specialties,ARRAY,ARRAY,SÍ,null,14
coaches,rating,numeric,numeric,SÍ,0.0,15
coaches,reviews_count,integer,integer,SÍ,0,16
coaches,price_per_hour,numeric,numeric,SÍ,null,17
coaches,location_city,text,text,SÍ,null,18
coaches,location_lat,numeric,numeric,SÍ,null,19
coaches,location_lng,numeric,numeric,SÍ,null,20
coaches,avatar_url,text,text,SÍ,null,21
coaches,offers_home_service,boolean,boolean,SÍ,false,22
coaches,is_featured,boolean,boolean,SÍ,false,23
coaches,availability,jsonb,jsonb,SÍ,'{}'::jsonb,24
coaches,images,ARRAY,ARRAY,SÍ,null,25
content_reports,id,uuid,uuid,NO,gen_random_uuid(),1
content_reports,reporter_id,uuid,uuid,NO,null,2
content_reports,reported_entity_type,text,text,NO,null,3
content_reports,reported_entity_id,uuid,uuid,NO,null,4
content_reports,reported_user_id,uuid,uuid,SÍ,null,5
content_reports,reason,text,text,NO,null,6
content_reports,description,text,text,NO,null,7
content_reports,status,text,text,NO,'pendiente'::text,8
content_reports,priority,text,text,NO,'media'::text,9
content_reports,evidence_urls,jsonb,jsonb,SÍ,'[]'::jsonb,10
content_reports,assigned_to,uuid,uuid,SÍ,null,11
content_reports,reviewed_at,timestamp with time zone,timestamp with time zone,SÍ,null,12
content_reports,resolved_at,timestamp with time zone,timestamp with time zone,SÍ,null,13
content_reports,created_at,timestamp with time zone,timestamp with time zone,NO,now(),14
content_reports,updated_at,timestamp with time zone,timestamp with time zone,NO,now(),15
conversation_activities,id,uuid,uuid,NO,gen_random_uuid(),1
conversation_activities,conversation_id,uuid,uuid,SÍ,null,2
conversation_activities,user_id,uuid,uuid,SÍ,null,3
conversation_activities,action,text,text,NO,null,4
conversation_activities,details,jsonb,jsonb,SÍ,'{}'::jsonb,5
conversation_activities,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),6
conversation_notes,id,uuid,uuid,NO,gen_random_uuid(),1
conversation_notes,conversation_id,uuid,uuid,SÍ,null,2
conversation_notes,user_id,uuid,uuid,SÍ,null,3
conversation_notes,content,text,text,NO,null,4
conversation_notes,is_pinned,boolean,boolean,SÍ,false,5
conversation_notes,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),6
conversation_sla_status,id,uuid,uuid,NO,gen_random_uuid(),1
conversation_sla_status,conversation_id,uuid,uuid,SÍ,null,2
conversation_sla_status,sla_rule_id,uuid,uuid,SÍ,null,3
conversation_sla_status,first_response_due_at,timestamp with time zone,timestamp with time zone,SÍ,null,4
conversation_sla_status,first_response_breached,boolean,boolean,SÍ,false,5
conversation_sla_status,resolution_due_at,timestamp with time zone,timestamp with time zone,SÍ,null,6
conversation_sla_status,resolution_breached,boolean,boolean,SÍ,false,7
conversation_sla_status,created_at,timestamp with time zone,timestamp with time zone,SÍ,now(),8
conversation_stats,id,uuid,uuid,SÍ,null,1
conversation_stats,status,text,text,SÍ,null,2
conversation_stats,priority,text,text,SÍ,null,3
conversation_stats,team_id,uuid,uuid,SÍ,null,4
conversation_stats,assigned_to,uuid,uuid,SÍ,null,5
conversation_stats,message_count,integer,integer,SÍ,null,6
conversation_stats,unread_count,integer,integer,SÍ,null,7
conversation_stats,first_message_at,timestamp with time zone,timestamp with time zone,SÍ,null,8
conversation_stats,last_message_at,timestamp with time zone,timestamp with time zone,SÍ,null,9
conversation_stats,first_response_at,timestamp with time zone,timestamp with time zone,SÍ,null,10
conversation_stats,closed_at,timestamp with time zone,timestamp with time zone,SÍ,null,11
conversation_stats,first_response_minutes,numeric,numeric,SÍ,null,12
conversation_stats,resolution_minutes,numeric,numeric,SÍ,null,13
conversation_stats,sla_status,text,text,SÍ,null,14
conversations,id,uuid,uuid,NO,gen_random_uuid(),1
conversations,contact_email,text,text,NO,null,2
conversations,contact_name,text,text,SÍ,null,3
conversations,contact_phone,text,text,SÍ,null,4
conversations,subject,text,text,SÍ,null,5
conversations,team_id,uuid,uuid,SÍ,null,6
conversations,category,text,text,SÍ,'general'::text,7
conversations,source,text,text,SÍ,'email'::text,8
conversations,assigned_to,uuid,uuid,SÍ,null,9
conversations,assigned_at,timestamp with time zone,timestamp with time zone,SÍ,null,10
conversations,status,text,text,SÍ,'new'::text,11
conversations,priority,text,text,SÍ,'normal'::text,12
conversations,tags,ARRAY,ARRAY,SÍ,'{}'::text[],13
conversations,first_message_at,timestamp with time zone,timestamp with time zone,SÍ,now(),14
conversations,last_message_at,timestamp with time zone,timestamp with time zone,SÍ,now(),15
conversations,first_response_at,timestamp with time zone,timestamp with time zone,SÍ,null,16
